time,dk,k,dxi,xi,out
10.792,0,0.0,0.0,0.0,-0.0
10.828,0,0.0,0.0,0.0,-0.0
10.874,0,0.0,0.0,0.0,-0.0
10.921,0,0.0,-0.0,0.0,-0.0
10.95,0,0.0,-0.0,0.0,-0.0
10.99,0,0.0,-0.0,0.0,-0.0
11.027,0,0.0,-0.0,0.0,-0.0
11.059,0,0.0,-0.0,0.0,-0.0
11.084,0,0.0,-0.0,0.0,-0.0
11.127,0,0.0,-0.0,0.0,-0.0
11.159,0,0.0,-0.0,0.0,-0.0
11.196,0,0.0,-0.0,0.0,-0.0
11.226,0,0.0,-0.0,0.0,-0.0
11.257,0,0.0,-0.0,0.0,-0.0
11.285,0,0.0,-0.0,0.0,-0.0
11.306,0,0.0,-0.0,0.0,-0.0
11.342,0,0.0,-0.0,0.0,-0.0
11.365,0,0.0,-0.0,0.0,-0.0
11.384,0,0.0,-0.0,0.0,-0.0
11.446,0,0.0,-0.0,0.0,-0.0
11.48,0,0.0,-0.0,0.0,-0.0
11.504,0,0.0,-0.0,0.0,-0.0
11.541,0,0.0,-0.0,0.0,-0.0
11.581,0,0.0,-0.0,0.0,-0.0
11.61,0,0.0,-0.0,0.0,-0.0
11.647,0,0.0,-0.0,0.0,-0.0
11.68,0,0.0,-0.0,0.0,-0.0
11.719,0,0.0,-0.0,0.0,-0.0
11.754,0,0.0,-0.0,0.0,-0.0
11.793,0,0.0,-0.0,0.0,-0.0
11.82,0,0.0,-0.0,0.0,-0.0
11.85,0,0.0,-0.0,0.0,-0.0
11.862,0,0.0,-0.0,0.0,-0.0
11.896,0,0.0,-0.0,0.0,-0.0
11.943999999999999,0,0.0,-0.0,0.0,-0.0
11.979,0,0.0,-0.0,0.0,-0.0
12.018,0,0.0,-0.0,0.0,-0.0
12.051,0,0.0,-0.0,0.0,-0.0
12.099,0,0.0,-0.0,0.0,-0.0
12.134,0,0.0,-0.0,0.0,-0.0
12.16,0,0.0,-0.0,0.0,-0.0
12.203,0,0.0,-0.0,0.0,-0.0
12.238,0,0.0,-0.0,0.0,-0.0
12.259,0,0.0,-0.0,0.0,-0.0
12.286,0,0.0,-0.0,0.0,-0.0
12.306,0,0.0,-0.0,0.0,-0.0
12.359,0,0.0,-0.0,0.0,-0.0
12.396,0,0.0,-0.0,0.0,-0.0
12.415,0,0.0,-0.0,0.0,-0.0
12.452,0,0.0,-0.0,0.0,-0.0
12.48,0,0.0,-0.0,0.0,-0.0
12.555,0,0.0,-0.0,0.0,-0.0
12.617,0,0.0,-0.0,0.0,-0.0
12.648,0,0.0,-0.0,0.0,-0.0
12.678,0,0.0,-0.0,0.0,-0.0
12.705,0,0.0,-0.0,0.0,-0.0
12.748,0,0.0,-0.0,0.0,-0.0
12.806000000000001,0,0.0,-0.0,0.0,-0.0
12.837,0,0.0,-0.0,0.0,-0.0
12.869,0,0.0,-0.0,0.0,-0.0
12.912,0,0.0,-0.0,0.0,-0.0
12.942,0,0.0,-0.0,0.0,-0.0
12.965,0,0.0,-0.0,0.0,-0.0
13.005,0,0.0,-0.0,0.0,-0.0
13.036,0,0.0,-0.0,0.0,-0.0
13.077,0,0.0,-0.0,0.0,-0.0
13.121,0,0.0,-0.0,0.0,-0.0
13.156,0,0.0,-0.0,0.0,-0.0
13.206,0,0.0,-0.0,0.0,-0.0
13.257,0,0.0,-0.0,0.0,-0.0
13.294,0,0.0,-0.0,0.0,-0.0
13.332,0,0.0,0.0,0.0,-0.0
13.372,0,0.0,0.0,0.0,-0.0
13.413,0,0.0,0.0,0.0,-0.0
13.442,0,0.0,0.0,0.0,-0.0
13.456,0,0.0,0.0,0.0,-0.0
13.494,0,0.0,0.0,0.0,-0.0
13.539,0,0.0,0.0,0.0,-0.0
13.575,0,0.0,0.0,0.0,-0.0
13.613,0,0.0,0.0,0.0,-0.0
13.648,0,0.0,0.0,0.0,-0.0
13.667,0,0.0,0.0,0.0,-0.0
13.701,0,0.0,0.0,0.0,-0.0
13.759,0,0.0,0.0,0.0,-0.0
13.793,0,0.0,0.0,0.0,-0.0
13.853,0,0.0,0.0,0.0,-0.0
13.883,0,0.0,0.0,0.0,-0.0
13.902,0,0.0,0.0,0.0,-0.0
13.936,0,0.0,0.0,0.0,-0.0
13.975,0,0.0,0.0,0.0,-0.0
13.998,0,0.0,0.0,0.0,-0.0
14.039,0,0.0,0.0,0.0,-0.0
14.076,0,0.0,0.0,0.0,-0.0
14.107,0,0.0,0.0,0.0,-0.0
